Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
66,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24,1996,16.6,4.04,403,3.37,0.12,0.24,0.12,0.18,0.00,0.54,054,0.36,0.00,0.12,0.00,0.06,0.00,Spiele
67,Fabian Bredlow\Fabian-Bredlow,de GER,TW,Stuttgart,25,1995,1.0,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
68,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,3.61,362,2.57,0.54,0.30,0.15,0.05,0.00,0.54,055,0.35,0.00,0.05,0.10,0.05,0.00,Spiele
69,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,Spiele
70,John Brooks\John-Brooks,us USA,DF,Wolfsburg,27,1993,30.8,0.71,071,0.62,0.00,0.03,0.03,0.00,0.03,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,Spiele
71,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32,1988,15.9,2.45,245,1.57,0.82,0.06,0.00,0.00,0.00,0.25,025,0.06,0.19,0.00,0.00,0.00,0.00,Spiele
72,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,26,1994,29.5,0.85,085,0.64,0.14,0.03,0.00,0.03,0.00,0.03,003,0.03,0.00,0.00,0.00,0.00,0.00,Spiele
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,21,1998,1.0,2.00,202,2.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
74,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,27,1993,10.9,2.11,212,1.74,0.00,0.18,0.00,0.09,0.09,0.28,028,0.28,0.00,0.00,0.00,0.00,0.00,Spiele
75,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20,2000,15.3,1.90,190,1.44,0.00,0.07,0.07,0.33,0.00,0.33,033,0.13,0.00,0.07,0.00,0.13,0.00,Spiele
76,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
77,Roman Bürki\Roman-Burki,ch SUI,TW,Dortmund,29,1990,18.5,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,0.05,005,0.05,0.00,0.00,0.00,0.00,0.00,Spiele
78,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
79,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,32,1988,29.6,2.94,294,1.49,0.88,0.34,0.00,0.17,0.07,0.30,030,0.20,0.07,0.03,0.00,0.00,0.00,Spiele
80,Emre Can\Emre-Can,de GER,DFMF,Dortmund,26,1994,23.7,1.43,143,1.22,0.00,0.13,0.00,0.00,0.08,0.25,025,0.25,0.00,0.00,0.00,0.00,0.00,Spiele
81,Koen Casteels\Koen-Casteels,be BEL,TW,Wolfsburg,28,1992,32.0,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
82,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,33,1987,19.2,4.01,401,2.24,1.25,0.16,0.21,0.00,0.16,0.26,026,0.16,0.05,0.05,0.00,0.00,0.00,Spiele
83,Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,19,2001,10.0,0.40,040,0.30,0.00,0.00,0.00,0.00,0.10,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
