Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Ver,Live,Tot,FS,SP,Pressen,W,Fla,EB,Innen,AuÃŸen,Ger.,Boden,Tief,Hoch,Links,Rechts,Kopf,EW,Andere,Vol,Aus,AuÃŸerhalb,Abg,Blocks,Spiele
181,Janik Haberer\Janik-Haberer,de GER,MFFW,Freiburg,26,1994,5.4,40.0,39.3,0.74,0.37,0.00,9.81,0.74,0.93,0.00,0.00,0.00,0.00,26.9,6.11,7.04,4.44,30.6,3.70,0.19,0.00,32.0,0.00,0.93,0.74,0.74,Spiele
182,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,26,1993,15.2,45.1,42.0,3.09,2.70,0.07,5.92,1.25,0.13,0.00,0.00,0.00,0.00,27.8,6.05,11.3,35.2,3.75,3.42,0.39,0.46,34.9,0.07,0.39,0.53,1.25,Spiele
183,André Hahn\Andre-Hahn,de GER,FWMF,Augsburg,29,1990,22.6,20.7,19.8,0.88,0.04,0.09,6.73,0.71,1.24,0.00,0.00,0.00,0.00,9.82,5.00,5.84,2.61,12.5,2.17,0.40,0.49,11.6,0.04,0.93,1.19,1.50,Spiele
184,Amadou Haidara\Amadou-Haidara,ml MLI,MFDF,RB Leipzig,22,1998,21.2,52.4,50.0,2.41,0.19,0.14,11.9,0.94,1.60,0.09,0.05,0.00,0.00,36.3,9.15,6.89,5.75,40.3,2.17,2.12,0.57,42.0,0.24,0.71,1.37,1.46,Spiele
185,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,28,1991,18.3,89.5,81.6,7.92,1.75,0.33,10.5,1.04,1.58,0.33,0.11,0.11,0.11,65.3,12.5,11.7,66.8,11.8,2.79,5.85,0.66,78.6,0.22,0.60,1.42,1.15,Spiele
186,Amine Harit\Amine-Harit,ma MAR,MFFW,Schalke 04,23,1997,23.3,36.7,32.4,4.25,1.97,0.34,5.45,1.55,1.03,1.67,0.43,0.99,0.09,27.0,4.38,5.28,3.09,32.3,0.47,0.39,0.26,27.5,0.17,0.86,1.46,1.24,Spiele
187,Marcel Hartel\Marcel-Hartel,de GER,MF,Arminia,24,1996,18.7,42.2,36.8,5.35,2.73,0.05,8.34,1.34,1.60,1.18,0.53,0.48,0.00,28.2,4.60,9.36,4.76,34.4,1.76,0.11,0.27,31.5,0.11,1.07,1.44,1.23,Spiele
188,Makoto Hasebe\Makoto-Hasebe,jp JPN,DFMF,Eint Frankfurt,36,1984,25.4,65.5,62.5,2.99,2.83,0.04,8.90,1.34,0.16,0.04,0.04,0.00,0.00,52.4,6.18,6.97,12.4,48.9,2.76,0.12,0.12,58.3,0.20,0.63,1.02,0.47,Spiele
189,Thorgan Hazard\Thorgan-Hazard,be BEL,FWMF,Dortmund,27,1993,7.3,50.4,46.2,4.25,0.68,0.27,6.30,2.60,1.64,1.64,0.55,0.82,0.00,34.8,7.12,8.49,8.22,38.6,1.37,1.51,0.55,41.5,0.41,0.27,1.64,1.51,Spiele
190,Jonas Hector\Jonas-Hector,de GER,MF,Köln,30,1990,14.3,39.8,36.7,3.08,1.33,0.28,8.95,0.91,0.56,1.26,0.42,0.28,0.07,24.5,7.48,7.83,24.3,9.86,2.66,0.42,0.14,30.7,0.14,0.70,0.98,0.63,Spiele
191,Hwang Hee-chan\Hwang-Hee-chan,kr KOR,FWMF,RB Leipzig,24,1996,5.1,23.5,22.2,1.37,0.00,0.20,4.71,0.20,0.78,0.00,0.00,0.00,0.00,17.1,3.53,2.94,5.69,14.7,1.18,0.78,0.39,15.7,0.00,0.20,1.18,0.78,Spiele
192,Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,26,1993,15.2,64.1,62.0,2.11,1.71,0.00,5.00,3.29,0.39,0.00,0.00,0.00,0.00,48.2,3.49,12.4,49.4,11.3,2.50,0.39,0.07,55.1,0.26,0.99,0.59,0.79,Spiele
193,Benjamin Henrichs\Benjamin-Henrichs,de GER,DFMF,RB Leipzig,23,1997,6.0,59.2,53.0,6.17,0.33,0.17,9.67,1.00,2.17,0.00,0.00,0.00,0.00,40.3,8.67,10.2,13.8,36.8,1.83,5.83,0.33,44.3,0.17,0.83,2.17,3.83,Spiele
194,Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,24,1996,17.7,73.8,66.0,7.80,1.98,0.00,8.47,1.81,2.32,0.06,0.00,0.00,0.00,52.4,9.27,12.1,59.3,4.92,2.20,5.76,0.11,62.5,0.06,0.62,1.19,1.98,Spiele
195,Patrick Herrmann\Patrick-Herrmann,de GER,FW,M'Gladbach,29,1991,9.7,36.1,31.5,4.54,0.82,0.00,4.23,1.75,2.47,2.27,0.82,1.34,0.00,21.9,5.57,8.66,3.92,29.0,1.55,1.13,0.21,24.1,0.21,0.31,1.24,1.55,Spiele
196,Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,27,1992,28.1,67.1,62.0,5.09,2.53,0.14,8.90,1.39,0.21,0.00,0.00,0.00,0.00,46.9,7.65,12.5,46.4,12.1,3.24,2.42,0.14,55.5,0.25,1.14,0.96,0.71,Spiele
197,Marwin Hitz\Marwin-Hitz,ch SUI,TW,Dortmund,32,1987,15.5,35.5,26.5,8.97,1.03,0.00,3.48,1.03,0.00,0.00,0.00,0.00,0.00,23.2,1.61,10.6,3.87,26.3,0.00,0.00,4.45,29.5,0.13,0.90,0.13,0.06,Spiele
198,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,30,1990,30.3,45.9,43.6,2.31,1.22,0.07,8.55,0.69,0.36,0.00,0.00,0.00,0.00,31.7,6.90,7.23,11.6,29.5,2.74,0.03,0.20,38.7,0.13,0.46,0.63,1.19,Spiele
199,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,28,1992,20.2,50.7,41.9,8.81,2.92,0.10,7.08,4.06,2.13,4.90,1.49,2.48,0.59,33.4,6.49,10.9,7.33,41.3,0.74,0.84,0.15,37.8,0.25,0.69,1.19,2.18,Spiele
200,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,30,1989,0.6,51.7,43.3,8.33,0.00,0.00,6.67,0.00,3.33,0.00,0.00,0.00,0.00,20.0,15.0,16.7,0.00,31.7,8.33,8.33,0.00,35.0,0.00,1.67,0.00,0.00,Spiele
201,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,26,1994,23.2,28.4,27.6,0.82,0.13,0.00,8.53,0.39,1.08,0.00,0.00,0.00,0.00,16.8,6.16,5.43,3.53,19.3,2.28,0.17,0.30,19.2,0.09,0.60,0.91,2.03,Spiele
202,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,19,2001,14.5,17.7,15.5,2.14,0.00,0.07,3.93,0.07,0.14,0.00,0.00,0.00,0.00,11.9,3.66,2.07,3.31,11.3,1.03,0.14,0.62,12.8,0.00,0.34,0.76,0.90,Spiele
203,Jannes Horn\Jannes-Horn,de GER,DF,Köln,23,1997,19.6,46.3,39.1,7.14,1.02,0.00,5.15,1.17,2.24,0.00,0.00,0.00,0.00,26.8,7.24,12.2,32.2,5.15,2.09,6.12,0.10,36.8,0.00,1.02,0.71,1.22,Spiele
204,Timo Horn\Timo-Horn,de GER,TW,Köln,27,1993,33.4,39.7,30.4,9.31,2.87,0.00,2.43,0.90,0.00,0.00,0.00,0.00,0.00,19.9,1.68,18.1,27.0,6.86,0.00,0.00,3.50,29.2,0.15,0.81,0.33,0.09,Spiele
205,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,TW,Leverkusen,30,1989,28.5,48.8,40.8,7.96,1.75,0.00,4.81,0.95,0.00,0.00,0.00,0.00,0.00,28.6,2.56,17.7,9.58,32.3,0.11,0.04,6.32,37.6,0.21,0.84,0.35,0.11,Spiele
206,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,24,1996,3.0,81.3,71.0,10.3,2.67,0.00,10.3,5.67,3.00,6.67,2.67,2.33,0.67,62.3,5.67,13.3,70.7,7.67,0.67,1.00,0.67,66.3,0.33,1.00,1.67,1.67,Spiele
207,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,29,1991,5.8,41.0,38.6,2.41,1.21,0.00,6.55,0.17,0.17,0.00,0.00,0.00,0.00,25.9,5.34,9.83,9.48,24.1,3.79,1.21,0.00,30.5,0.17,2.93,0.52,0.34,Spiele
208,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,31,1988,31.3,82.5,80.3,2.17,1.92,0.16,8.50,4.38,0.06,0.00,0.00,0.00,0.00,62.8,7.73,11.9,26.4,50.2,3.13,0.22,0.26,73.3,0.13,1.63,0.67,0.58,Spiele
209,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,36,1983,6.5,20.8,18.6,2.15,0.00,0.15,6.31,0.15,0.15,0.00,0.00,0.00,0.00,11.4,6.92,2.46,3.23,12.5,2.00,0.46,0.62,15.8,0.00,0.31,0.46,0.62,Spiele
210,Iago\Iago,br BRA,DF,Augsburg,23,1997,17.3,47.4,39.1,8.27,1.04,0.00,6.36,0.98,2.25,0.00,0.00,0.00,0.00,25.4,10.6,11.3,30.0,6.71,2.54,7.23,0.00,35.0,0.23,0.87,1.50,2.02,Spiele
211,Vedad Ibiševi?\Vedad-Ibisevic,ba BIH,FW,Schalke 04,35,1984,1.7,20.6,19.4,1.18,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,10.0,5.29,5.29,0.00,14.1,1.76,0.00,1.18,14.7,0.00,0.00,0.59,0.59,Spiele
212,Blendi Idrizi\Blendi-Idrizi,xk KVX,MF,Schalke 04,22,1998,2.6,26.2,25.4,0.77,0.00,0.00,5.77,0.38,0.38,0.00,0.00,0.00,0.00,16.2,6.15,3.85,4.23,20.0,1.15,0.38,0.00,20.0,0.00,0.38,2.31,0.77,Spiele
213,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,31,1989,17.5,50.5,48.4,2.06,1.66,0.00,6.51,0.91,0.17,0.00,0.00,0.00,0.00,34.2,5.89,10.4,5.66,38.8,3.83,0.40,0.34,40.5,0.00,0.63,0.80,0.97,Spiele
214,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,24,1996,21.8,29.9,28.3,1.61,1.01,0.05,7.89,0.69,1.10,0.50,0.37,0.14,0.00,17.8,6.01,6.10,19.4,5.73,2.43,0.05,0.37,21.2,0.32,0.83,0.60,1.15,Spiele
215,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,20,1999,19.2,36.3,31.2,5.05,0.42,0.00,6.77,1.25,3.23,0.05,0.05,0.00,0.00,18.2,8.54,9.53,26.6,2.76,1.25,4.58,0.16,24.2,0.16,0.99,0.89,1.88,Spiele
216,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,30,1990,3.0,84.7,83.7,1.00,0.67,0.00,5.67,2.00,0.00,0.00,0.00,0.00,0.00,73.0,4.67,7.00,14.0,66.7,2.67,0.33,0.67,78.0,0.00,1.67,0.33,0.67,Spiele
217,Rune Jarstein\Rune-Jarstein,no NOR,TW,Hertha BSC,35,1984,8.0,35.5,23.6,11.9,2.63,0.00,1.25,0.50,0.00,0.00,0.00,0.00,0.00,14.6,1.38,19.5,3.00,26.6,0.00,0.00,3.13,23.0,0.25,0.50,0.38,0.25,Spiele
218,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,74.7,64.1,10.6,0.59,0.59,4.71,1.18,1.18,0.00,0.00,0.00,0.00,50.6,11.8,12.4,6.47,55.9,2.35,10.0,0.00,64.7,0.00,1.18,0.59,1.76,Spiele
219,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,22,1997,4.2,23.8,23.1,0.71,0.00,0.24,8.10,0.95,0.95,0.24,0.00,0.24,0.00,15.7,3.57,4.52,2.86,17.9,1.43,0.48,0.48,16.2,0.00,0.48,0.71,0.95,Spiele
220,Marco John\Marco-John,de GER,DF,Hoffenheim,18,2002,11.1,48.1,39.0,9.10,0.18,0.00,4.68,0.72,2.43,0.00,0.00,0.00,0.00,28.4,13.2,6.49,30.8,5.95,1.71,8.92,0.09,38.3,0.09,0.27,1.80,2.52,Spiele
221,Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,22,1997,9.9,29.5,28.5,1.01,0.10,0.20,8.48,0.81,0.51,0.00,0.00,0.00,0.00,19.2,6.16,4.14,5.15,19.7,2.02,0.10,0.30,23.0,0.10,0.30,1.31,0.61,Spiele
222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,49.3,48.3,1.01,0.87,0.14,6.52,1.30,0.00,0.00,0.00,0.00,0.00,37.5,3.70,8.04,6.16,39.1,1.59,0.14,0.14,43.8,0.07,0.36,0.58,0.14,Spiele
223,Pavel Kade?ábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,28,1992,17.6,54.4,44.1,10.3,0.34,0.06,7.67,0.28,3.35,0.00,0.00,0.00,0.00,26.1,15.2,13.1,3.64,36.0,2.84,10.0,0.23,40.1,0.11,0.40,1.53,2.78,Spiele
224,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,27,1992,5.0,36.6,33.4,3.20,1.20,0.00,7.00,0.80,3.20,0.80,0.60,0.20,0.00,24.2,3.20,9.20,10.0,24.2,0.60,1.20,0.40,25.2,0.20,0.80,1.80,1.00,Spiele
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,28.2,25.7,2.53,0.08,0.13,9.45,0.34,0.21,0.00,0.00,0.00,0.00,16.9,6.54,4.73,3.84,18.6,1.94,0.08,0.76,19.8,0.00,0.46,1.01,1.22,Spiele
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,38.3,34.6,3.66,0.73,0.23,8.82,1.18,1.60,2.60,0.53,0.88,0.38,26.6,5.08,6.64,6.03,29.0,1.91,0.19,0.38,28.7,0.27,0.61,1.18,1.56,Spiele
227,Marcin Kami?ski\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,88.8,84.2,4.58,1.25,0.00,7.08,2.08,0.83,0.00,0.00,0.00,0.00,66.3,9.58,12.9,66.7,13.8,3.33,3.33,0.00,78.3,0.00,1.25,0.00,2.08,Spiele
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,66.5,64.2,2.23,1.81,0.23,9.95,0.65,0.09,0.09,0.05,0.05,0.00,52.7,5.91,7.91,6.79,56.4,2.09,0.33,0.14,59.7,0.19,0.84,0.70,0.84,Spiele
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,Spiele
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,61.3,57.7,3.57,3.22,0.00,8.43,0.61,0.00,0.00,0.00,0.00,0.00,49.7,5.57,6.09,8.26,49.1,1.83,0.09,0.35,53.5,0.17,0.52,1.22,0.70,Spiele
231,Loris Karius\Loris-Karius,de GER,TW,Union Berlin,27,1993,3.2,29.7,20.6,9.06,2.81,0.00,1.56,0.31,0.00,0.00,0.00,0.00,0.00,10.3,0.63,18.8,2.81,22.5,0.00,0.00,3.13,18.1,0.63,0.63,0.00,0.00,Spiele
232,Silas Katompa\Silas-Katompa,cd COD,DFFW,Stuttgart,21,1998,21.3,23.1,21.5,1.55,0.14,0.00,4.51,0.52,1.92,0.00,0.00,0.00,0.00,16.9,3.10,3.10,1.64,19.0,0.56,1.41,0.05,16.2,0.00,0.47,0.66,1.55,Spiele
233,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,54.4,45.4,9.02,0.65,0.00,7.40,1.06,2.03,0.00,0.00,0.00,0.00,31.8,11.8,10.8,30.0,13.2,1.79,8.37,0.00,41.9,0.24,1.63,1.63,1.87,Spiele
234,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,35.8,34.4,1.45,0.73,0.00,12.4,0.91,0.00,0.00,0.00,0.00,0.00,24.5,4.00,7.27,8.73,21.1,3.27,0.00,0.18,28.9,0.18,0.18,1.09,1.09,Spiele
235,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,61.6,56.8,4.82,2.64,0.03,7.99,2.11,0.33,0.00,0.00,0.00,0.00,42.1,6.96,12.5,48.2,6.86,2.71,2.18,0.26,50.9,0.26,0.76,1.16,1.25,Spiele
236,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,33.2,32.0,1.19,0.59,0.05,6.93,0.79,0.40,0.00,0.00,0.00,0.00,20.4,4.65,8.17,3.66,25.0,3.02,0.10,0.20,24.5,0.15,1.19,0.50,1.09,Spiele
237,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,50.5,47.0,3.41,3.41,0.00,6.14,1.14,0.45,0.00,0.00,0.00,0.00,37.0,6.59,6.82,7.73,40.7,0.91,0.00,0.00,41.8,0.45,0.68,0.91,0.45,Spiele
238,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,52.9,51.0,1.90,1.90,0.00,4.76,1.43,0.00,0.00,0.00,0.00,0.00,40.0,3.33,9.52,5.71,41.9,3.10,0.00,0.00,46.0,0.00,0.48,0.48,0.71,Spiele
239,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,87.3,76.2,11.1,4.47,0.45,11.7,5.25,1.64,5.66,2.58,1.97,0.37,58.6,9.47,19.3,15.0,67.5,2.95,1.02,0.33,73.4,0.49,0.86,1.76,0.90,Spiele
240,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,25.6,24.8,0.80,0.80,0.00,5.20,0.00,0.40,0.00,0.00,0.00,0.00,17.2,4.80,3.60,4.80,18.0,2.00,0.00,0.00,17.6,0.80,1.20,0.00,1.20,Spiele
241,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,48.0,41.3,6.67,0.00,0.00,2.67,0.67,0.67,0.00,0.00,0.00,0.00,30.7,9.33,8.00,2.00,36.0,2.00,6.67,0.67,38.7,0.00,2.00,0.00,2.67,Spiele
242,Klauss\Klauss,br BRA,FWDF,Hoffenheim,23,1997,0.6,36.7,35.0,1.67,0.00,1.67,11.7,0.00,0.00,0.00,0.00,0.00,0.00,25.0,3.33,8.33,5.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,1.67,Spiele
243,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,73.6,61.9,11.7,4.68,0.00,10.4,2.77,1.49,5.74,1.49,3.19,0.64,50.4,7.87,15.3,65.5,5.53,0.64,1.28,0.00,60.6,0.00,1.28,0.64,2.13,Spiele
244,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,25.3,24.3,0.98,0.08,0.15,4.66,0.45,0.45,0.15,0.08,0.00,0.08,20.5,2.11,2.63,8.20,15.6,0.60,0.30,0.08,19.0,0.08,0.23,1.43,0.98,Spiele
245,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,26.5,25.1,1.40,0.10,0.07,10.7,0.70,0.86,0.03,0.00,0.00,0.00,10.8,8.21,7.48,3.19,12.0,4.05,0.13,0.73,15.0,0.17,0.76,1.00,1.43,Spiele
246,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,71.6,67.0,4.66,1.55,0.00,6.46,0.68,0.43,0.00,0.00,0.00,0.00,56.0,6.27,9.38,12.4,53.9,1.49,3.11,0.06,63.3,0.06,0.93,1.49,0.31,Spiele
247,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,27.8,27.0,0.78,0.00,0.11,5.56,0.78,2.78,0.11,0.00,0.00,0.00,18.8,4.44,4.56,4.22,21.0,1.11,0.67,0.22,19.2,0.00,0.33,1.00,1.89,Spiele
248,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,48.3,43.4,4.91,1.09,0.00,6.36,0.27,0.82,0.00,0.00,0.00,0.00,33.3,5.82,9.18,4.00,38.5,1.55,3.82,0.00,37.1,0.09,1.64,1.73,1.73,Spiele
249,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,31.3,28.8,2.50,1.25,0.00,7.50,2.50,7.50,0.00,0.00,0.00,0.00,16.3,3.75,11.3,0.00,28.8,0.00,1.25,0.00,23.8,0.00,0.00,0.00,0.00,Spiele
250,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,59.7,57.5,2.13,2.04,0.03,5.30,2.19,0.00,0.00,0.00,0.00,0.00,45.2,4.56,9.94,9.20,45.1,3.55,0.09,0.12,51.7,0.21,1.18,0.50,0.50,Spiele
251,Gregor Kobel\Gregor-Kobel,ch SUI,TW,Stuttgart,22,1997,33.0,36.8,27.0,9.85,1.45,0.00,2.36,0.39,0.00,0.00,0.00,0.00,0.00,25.3,0.94,10.6,5.88,23.8,0.00,0.00,6.09,30.2,0.06,0.76,0.24,0.15,Spiele
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,59.7,57.6,2.07,1.03,0.00,8.97,0.00,1.38,0.00,0.00,0.00,0.00,44.5,6.55,8.62,7.24,45.9,4.14,0.69,0.34,45.9,0.34,1.38,1.38,1.38,Spiele
253,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,36.7,36.2,0.43,0.43,0.00,7.09,0.57,0.21,0.00,0.00,0.00,0.00,23.4,6.88,6.38,5.89,26.3,2.62,0.00,0.28,27.9,0.07,0.92,0.99,0.99,Spiele
254,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,46.8,40.4,6.33,0.82,0.00,5.38,0.44,1.39,0.00,0.00,0.00,0.00,31.1,8.16,7.47,34.0,4.68,2.03,5.51,0.06,37.2,0.06,1.46,1.58,1.27,Spiele
255,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,70.9,68.6,2.34,1.95,0.00,7.01,0.78,0.00,0.26,0.00,0.13,0.13,58.6,3.12,9.22,4.55,62.5,1.69,0.00,0.26,61.3,0.52,0.39,1.69,0.26,Spiele
256,Filip Kosti?\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,56.5,45.3,11.2,1.70,0.11,6.28,2.52,7.84,2.30,0.85,1.10,0.11,28.7,11.3,16.5,42.8,4.50,1.52,7.16,0.04,35.4,0.32,1.17,2.66,3.83,Spiele
257,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,18,2002,1.3,66.2,64.6,1.54,1.54,0.00,9.23,3.08,0.00,0.00,0.00,0.00,0.00,56.2,4.62,5.38,8.46,53.8,2.31,0.00,0.77,60.0,0.00,1.54,0.77,0.00,Spiele
258,Andrej Kramari?\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,29,1991,26.4,38.4,35.1,3.33,0.80,0.23,6.44,1.21,2.27,0.95,0.19,0.30,0.08,27.0,5.38,5.98,5.49,30.9,0.76,0.95,0.19,29.5,0.38,0.42,1.36,1.48,Spiele
259,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,29,1991,22.6,57.7,55.7,1.95,1.86,0.04,7.26,0.71,0.22,0.00,0.00,0.00,0.00,42.9,6.68,8.05,8.32,46.1,1.90,0.09,0.31,50.0,0.13,0.40,0.84,0.88,Spiele
260,Max Kruse\Max-Kruse,de GER,FWMF,Union Berlin,32,1988,18.1,41.4,37.1,4.25,1.71,0.28,7.51,2.21,1.60,1.33,0.28,0.88,0.11,26.1,7.18,8.12,28.9,8.95,1.66,0.39,0.72,31.2,0.11,0.77,1.60,1.60,Spiele
261,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,27,1992,9.8,42.8,34.2,8.57,0.41,0.10,7.04,1.02,1.84,0.00,0.00,0.00,0.00,19.2,8.16,15.4,3.37,26.0,3.47,8.16,0.31,28.7,0.20,1.02,0.92,1.84,Spiele
262,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,25,1995,5.7,51.6,47.9,3.68,2.11,0.35,8.25,2.28,0.53,1.05,0.00,0.88,0.18,31.9,7.54,12.1,5.96,41.6,2.63,0.35,0.88,39.3,0.18,0.53,1.93,1.40,Spiele
263,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,22,1998,14.1,40.1,39.1,0.99,0.71,0.00,8.51,0.57,0.21,0.00,0.00,0.00,0.00,26.7,5.89,7.59,3.48,30.5,3.19,0.28,0.07,31.5,0.07,0.57,0.99,0.71,Spiele
264,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,20,2000,1.2,30.8,28.3,2.50,0.00,0.00,5.00,1.67,1.67,0.00,0.00,0.00,0.00,20.0,5.83,5.00,6.67,18.3,3.33,0.00,0.00,18.3,0.83,0.00,1.67,1.67,Spiele
265,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,60.3,58.9,1.35,1.35,0.00,6.22,1.84,0.24,0.00,0.00,0.00,0.00,45.5,4.13,10.7,8.61,47.3,3.06,0.00,0.28,50.7,0.14,1.15,0.59,0.87,Spiele
266,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,56.7,48.9,7.78,1.11,0.00,8.89,0.00,1.11,0.00,0.00,0.00,0.00,32.2,14.4,10.0,10.0,33.3,5.56,6.67,0.00,43.3,0.00,1.11,0.00,3.33,Spiele
267,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,55.4,45.7,9.68,0.84,0.06,6.56,0.91,2.69,0.03,0.00,0.03,0.00,31.1,12.1,12.2,9.94,34.3,1.75,8.80,0.10,41.9,0.36,0.91,1.43,2.21,Spiele
268,Michael Langer\Michael-Langer,at AUT,TW,Schalke 04,35,1985,2.7,28.1,17.4,10.7,1.11,0.00,2.96,0.37,0.00,0.00,0.00,0.00,0.00,13.3,1.11,13.7,1.11,23.7,0.00,0.00,2.59,18.5,0.00,0.37,0.00,0.00,Spiele
269,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,37.6,34.9,2.75,1.40,0.10,7.55,1.05,0.80,1.00,0.35,0.50,0.05,22.2,6.35,9.05,5.65,28.3,2.25,0.20,0.20,26.6,0.20,0.95,1.10,1.50,Spiele
270,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,42.0,36.5,5.43,1.01,0.00,6.23,0.80,1.88,0.72,0.36,0.14,0.14,27.0,7.25,7.75,5.65,30.6,1.23,3.70,0.00,32.0,0.07,0.51,1.52,1.16,Spiele
271,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,37.5,33.9,3.57,0.18,0.00,7.14,1.25,1.07,0.00,0.00,0.00,0.00,23.4,7.86,6.25,5.18,23.6,2.50,3.39,0.71,28.6,0.00,0.54,1.79,2.14,Spiele
