Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
44,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,28,1991,14.1,1.77,1.21,1.42,0.35,0.00,0.71,1.42,500,0.71,9.22,4.04,438,5.46,3.33,0.43,1.63,0.85,0.00,0.78,2.70,4.47,9.01,0.07,Spiele
45,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,30,1990,8.9,1.80,1.35,0.45,0.56,0.79,0.45,2.47,182,2.02,16.2,4.38,271,3.48,7.42,5.28,1.24,0.00,0.00,1.24,1.46,3.26,0.90,0.00,Spiele
46,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,2.86,1.96,0.74,1.43,0.69,0.95,2.65,360,1.69,23.0,6.72,292,5.08,12.2,5.71,2.12,0.32,0.00,1.80,1.11,3.97,1.06,0.00,Spiele
47,Lars Bender\Lars-Bender,de GER,DF,Leverkusen,31,1989,10.4,1.83,1.25,1.06,0.58,0.19,0.87,2.12,409,1.25,12.7,4.23,333,4.71,6.06,1.92,2.50,0.67,0.00,1.83,0.77,2.60,2.60,0.00,Spiele
48,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,31,1989,13.0,1.38,0.92,0.69,0.46,0.23,0.46,1.46,316,1.00,10.1,3.69,366,4.54,5.00,0.54,2.00,0.69,0.00,1.31,1.08,2.46,4.92,0.00,Spiele
49,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,22,1997,7.3,0.96,0.68,0.68,0.27,0.00,0.41,0.96,429,0.55,17.8,5.07,285,4.93,10.3,2.60,0.96,0.27,0.00,0.68,1.23,2.19,0.55,0.14,Spiele
50,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,22,1997,1.7,3.53,1.18,2.94,0.59,0.00,1.18,1.76,667,0.59,11.8,2.94,250,4.12,7.06,0.59,1.76,0.59,0.00,1.18,2.35,5.88,1.18,0.00,Spiele
51,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,2.24,1.24,1.54,0.55,0.15,1.49,2.59,577,1.09,12.7,3.63,286,6.27,4.88,1.54,2.74,0.45,0.00,2.29,3.13,5.37,5.32,0.05,Spiele
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,2.13,0.98,1.15,0.82,0.16,0.49,2.62,188,2.13,18.5,3.93,212,8.03,7.54,2.95,1.80,0.33,0.00,1.48,0.49,2.62,1.15,0.00,Spiele
53,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20,2000,2.1,1.43,0.95,0.48,0.95,0.00,0.95,1.43,667,0.48,13.3,4.29,321,6.67,6.67,0.00,2.38,1.90,0.00,0.48,2.86,4.29,5.24,0.00,Spiele
54,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,18,2001,3.0,2.00,2.00,0.33,1.33,0.33,1.33,2.33,571,1.00,23.0,9.33,406,2.33,12.0,8.67,1.67,0.00,0.00,1.67,1.00,3.00,0.33,0.00,Spiele
55,Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,30,1990,1.4,0.71,0.00,0.00,0.71,0.00,0.71,1.43,500,0.71,13.6,3.57,263,8.57,2.86,2.14,2.14,0.71,0.00,1.43,0.71,1.43,6.43,0.00,Spiele
56,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,26,1993,16.8,3.51,1.85,1.37,1.55,0.60,0.65,2.08,314,1.43,29.9,7.32,245,8.10,15.1,6.79,1.96,0.18,0.00,1.79,0.83,4.35,0.48,0.00,Spiele
57,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,31,1988,26.3,1.10,0.65,0.65,0.46,0.00,0.34,1.22,281,0.87,7.45,2.78,372,3.50,3.69,0.27,1.37,0.72,0.00,0.65,1.83,2.93,4.14,0.00,Spiele
58,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,26,1994,22.9,2.14,1.35,0.57,1.00,0.57,0.52,2.05,255,1.53,20.3,6.16,303,4.45,9.56,6.29,1.92,0.13,0.00,1.79,1.09,3.23,0.70,0.04,Spiele
