Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
291,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23,1997,2.9,0.69,0.69,0.69,0.00,0.00,0.34,1.38,250,1.03,8.97,3.10,346,2.07,5.86,1.03,0.69,0.00,0.00,0.69,1.03,1.72,0.34,0.00,Spiele
292,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,31,1988,5.2,1.73,0.96,0.77,0.58,0.38,0.77,0.96,800,0.19,11.5,4.62,400,3.85,5.38,2.31,2.50,0.77,0.00,1.73,2.12,3.85,5.19,0.00,Spiele
293,Josep Martinez\Josep-Martinez,es ESP,TW,RB Leipzig,22,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
294,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,2.14,1.07,0.77,1.02,0.36,0.71,2.60,275,1.89,16.8,5.66,336,6.38,8.67,1.79,2.40,0.66,0.00,1.73,1.84,3.98,2.04,0.05,Spiele
295,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,19,2000,8.4,2.50,1.67,1.55,0.83,0.12,1.19,2.86,417,1.67,19.0,5.83,306,7.62,6.90,4.52,1.79,0.24,0.00,1.55,1.43,3.93,1.31,0.00,Spiele
296,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,0.45,0.45,0.18,0.09,0.18,0.00,0.27,00,0.27,9.64,2.88,299,0.72,4.50,4.41,0.63,0.09,0.00,0.54,0.09,0.54,0.63,0.00,Spiele
297,Rabbi Matondo\Rabbi-Matondo,wls WAL,FWMF,Schalke 04,19,2000,2.4,1.67,1.25,0.83,0.83,0.00,0.83,1.67,500,0.83,26.3,7.08,270,7.50,10.0,8.75,2.08,0.42,0.00,1.67,0.83,2.50,0.00,0.00,Spiele
298,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,20,2000,0.3,10.0,6.67,6.67,3.33,0.00,3.33,6.67,500,3.33,13.3,6.67,500,10.0,3.33,0.00,6.67,0.00,0.00,6.67,0.00,10.0,0.00,0.00,Spiele
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,2.58,1.35,1.96,0.43,0.18,1.23,3.07,400,1.84,7.98,2.21,277,4.91,2.64,0.43,2.45,0.80,0.00,1.66,2.52,5.09,5.89,0.00,Spiele
300,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31,1989,9.1,0.99,0.66,0.11,0.66,0.22,0.22,0.66,333,0.44,14.1,4.18,297,0.77,7.03,6.26,0.33,0.00,0.00,0.33,0.33,1.32,0.77,0.00,Spiele
301,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,2.91,1.70,1.54,1.10,0.27,1.04,2.09,500,1.04,16.4,5.88,359,6.65,6.32,3.41,2.80,0.44,0.00,2.36,1.26,4.18,4.73,0.00,Spiele
302,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20,2000,12.9,1.94,1.16,1.24,0.54,0.16,0.93,2.71,343,1.78,21.4,6.12,286,8.14,9.53,3.72,2.09,0.47,0.00,1.63,1.09,3.02,2.25,0.00,Spiele
303,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,22,1997,7.1,3.38,2.39,1.83,1.13,0.42,0.99,1.55,636,0.56,20.4,7.18,352,11.4,7.04,1.97,2.96,0.14,0.00,2.82,1.13,4.51,3.80,0.00,Spiele
304,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,24,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
305,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,29,1991,9.1,1.98,1.32,0.55,0.66,0.77,0.66,1.98,333,1.32,23.2,8.68,374,4.29,11.6,7.25,1.10,0.22,0.00,0.88,0.66,2.64,0.33,0.00,Spiele
306,Hamza Mendyl\Hamza-Mendyl,ma MAR,FWDF,Schalke 04,22,1997,1.1,3.64,0.91,2.73,0.00,0.91,1.82,3.64,500,1.82,30.0,6.36,212,8.18,14.5,7.27,0.91,0.00,0.00,0.91,0.91,4.55,0.91,0.00,Spiele
307,Levent Mercan\Levent-Mercan,de GER,FW,Schalke 04,19,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
308,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,23,1997,14.4,1.46,0.97,1.04,0.28,0.14,0.21,0.69,300,0.49,8.26,2.99,361,4.93,2.36,0.97,1.18,0.83,0.00,0.35,1.60,3.06,5.76,0.00,Spiele
309,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,28,1991,16.4,2.26,1.59,1.34,0.49,0.43,1.04,1.83,567,0.79,10.4,3.84,368,4.63,3.66,2.13,1.59,0.49,0.00,1.10,0.98,3.23,2.20,0.12,Spiele
310,Max Meyer\Max-Meyer,de GER,MF,Köln,24,1995,3.9,1.54,1.28,0.51,1.03,0.00,1.03,2.82,364,1.79,14.9,5.64,379,3.33,8.21,3.33,1.54,0.00,0.00,1.54,0.77,2.31,0.77,0.00,Spiele
311,Jonas Michel Dirkner\Jonas-Michel-Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,5.00,5.00,5.00,0.00,0.00,0.00,0.00,,0.00,35.0,25.0,714,20.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,Spiele
312,Jonas Michelbrink\Jonas-Michelbrink,de GER,MF,Hertha BSC,19,2001,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,40.0,20.0,500,22.5,7.50,10.0,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,Spiele
313,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,23,1997,20.0,3.80,1.80,2.45,1.05,0.30,1.50,3.45,435,1.95,16.6,4.90,296,8.95,5.80,1.80,2.90,0.20,0.00,2.70,2.60,6.40,3.50,0.05,Spiele
314,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,32,1988,2.5,0.40,0.00,0.00,0.40,0.00,0.00,0.80,00,0.80,12.8,3.60,281,0.00,6.80,6.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.00,Spiele
315,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27,1993,17.3,1.10,0.92,0.81,0.23,0.06,0.17,1.21,143,1.04,13.5,3.64,269,5.66,6.47,1.39,1.10,0.17,0.00,0.92,2.37,3.47,1.45,0.12,Spiele
316,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,34,1985,13.6,1.25,0.81,1.03,0.22,0.00,0.44,1.10,400,0.66,9.04,3.38,374,5.44,3.60,0.00,1.76,0.51,0.00,1.25,2.06,3.31,6.84,0.00,Spiele
317,Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,gn GUI,DFFW,Stuttgart,17,2002,0.4,2.50,2.50,2.50,0.00,0.00,0.00,0.00,,0.00,20.0,2.50,125,2.50,15.0,2.50,5.00,0.00,0.00,5.00,0.00,2.50,2.50,0.00,Spiele
318,Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,30,1989,3.0,1.33,0.67,0.67,0.67,0.00,0.00,2.00,00,2.00,30.7,8.33,272,12.0,15.3,3.33,1.00,0.00,0.00,1.00,2.67,4.00,2.00,0.00,Spiele
319,Mateu Morey\Mateu-Morey,es ESP,DF,Dortmund,20,2000,9.2,1.52,0.76,0.98,0.33,0.22,0.65,1.63,400,0.98,12.1,3.59,297,3.70,5.98,2.39,1.20,0.11,0.00,1.09,1.85,3.37,0.76,0.11,Spiele
320,Youssoufa Moukoko\Youssoufa-Moukoko,de GER,FWMF,Dortmund,15,2004,4.7,0.64,0.43,0.00,0.43,0.21,0.21,0.21,1000,0.00,15.3,6.17,403,1.06,5.74,8.51,1.06,0.00,0.00,1.06,0.00,0.64,0.21,0.00,Spiele
321,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,22,1997,18.6,2.53,1.08,0.86,1.29,0.38,1.13,2.42,467,1.29,14.9,4.19,281,3.92,7.26,3.76,2.15,0.11,0.00,2.04,1.51,4.03,2.53,0.05,Spiele
322,Florian Müller\Florian-Muller,de GER,TW,Freiburg,22,1997,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,00,0.06,0.06,0.00,00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.13,0.00,Spiele
323,Sebastian Müller\Sebastian-Muller,de GER,MFDF,Arminia,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Spiele
324,Thomas Müller\Thomas-Muller,de GER,MF,Bayern Munich,30,1989,29.7,1.78,1.11,0.54,0.67,0.57,0.71,2.49,284,1.78,22.4,7.41,331,3.64,10.4,8.35,1.65,0.10,0.00,1.55,0.61,2.39,0.67,0.00,Spiele
325,Petar Musa\Petar-Musa,hr CRO,FW,Union Berlin,22,1998,7.9,2.03,1.52,0.25,1.01,0.76,0.38,1.01,375,0.63,27.3,6.20,227,1.77,14.6,11.0,1.14,0.00,0.00,1.14,0.51,2.53,0.76,0.00,Spiele
326,Jamal Musiala\Jamal-Musiala,de GER,FWMF,Bayern Munich,17,2003,9.8,2.65,1.53,0.20,1.22,1.22,0.41,1.94,211,1.53,22.6,8.47,376,3.98,10.2,8.37,2.45,0.20,0.00,2.24,2.24,4.90,0.31,0.00,Spiele
327,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Schalke 04,28,1992,11.5,1.13,0.70,1.04,0.09,0.00,0.35,0.87,400,0.52,9.74,3.13,321,6.78,2.78,0.17,2.35,1.30,0.09,1.04,2.35,3.48,8.35,0.09,Spiele
328,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,26,1994,18.6,2.74,1.83,1.40,1.08,0.27,1.02,2.42,422,1.40,17.6,6.56,372,7.90,6.51,3.23,1.99,0.22,0.00,1.77,1.29,4.03,2.96,0.05,Spiele
329,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,20,1999,22.7,1.67,0.93,0.88,0.75,0.04,0.62,1.32,467,0.70,13.5,4.32,319,6.12,5.64,1.76,2.56,0.40,0.00,2.16,2.07,3.74,4.41,0.00,Spiele
330,Matija Nastasi?\Matija-Nastasic,rs SRB,DF,Schalke 04,27,1993,13.6,0.81,0.44,0.66,0.15,0.00,0.15,0.81,182,0.66,7.06,2.21,313,5.07,1.91,0.07,2.57,1.62,0.00,0.96,1.10,1.91,4.63,0.00,Spiele
331,Paul Nebel\Paul-Nebel,de GER,MFFW,Mainz 05,17,2002,0.6,1.67,0.00,0.00,1.67,0.00,0.00,0.00,,0.00,28.3,3.33,118,0.00,20.0,8.33,0.00,0.00,0.00,0.00,1.67,3.33,1.67,0.00,Spiele
332,Luca Netz\Luca-Netz,de GER,DFMF,Hertha BSC,17,2003,3.4,3.53,2.06,3.24,0.29,0.00,2.06,5.88,350,3.82,18.2,4.41,242,10.6,4.41,3.24,2.35,0.00,0.00,2.35,0.59,4.12,2.65,0.00,Spiele
333,Manuel Neuer\Manuel-Neuer,de GER,TW,Bayern Munich,34,1986,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,00,0.03,0.12,0.00,00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,Spiele
334,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'Gladbach,23,1997,29.1,1.72,1.07,0.72,0.86,0.14,0.65,2.65,247,1.99,12.6,4.30,341,4.19,6.39,2.03,1.65,0.27,0.00,1.37,1.58,3.30,1.10,0.00,Spiele
335,Jessic Ngankam\Jessic-Ngankam,de GER,FW,Hertha BSC,20,2000,3.3,1.82,1.21,0.61,0.61,0.61,0.30,1.52,200,1.21,27.3,6.06,222,2.73,15.2,9.39,2.73,0.30,0.00,2.42,0.30,2.12,0.00,0.00,Spiele
336,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,24,1996,31.8,1.82,1.10,1.16,0.60,0.06,0.50,1.07,471,0.57,10.8,4.37,404,6.04,3.87,0.91,1.67,0.44,0.03,1.23,1.26,3.08,3.96,0.00,Spiele
337,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,29,1990,19.3,0.57,0.41,0.16,0.31,0.10,0.10,0.88,118,0.78,12.3,3.58,291,1.09,5.65,5.54,0.88,0.10,0.00,0.78,0.31,0.88,1.04,0.00,Spiele
338,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,26,1994,24.0,1.71,1.04,1.17,0.50,0.04,0.33,0.79,421,0.46,10.3,3.33,324,5.75,4.21,0.33,1.58,0.92,0.00,0.67,1.08,2.79,6.42,0.04,Spiele
339,Christopher Nkunku\Christopher-Nkunku,fr FRA,FWMF,RB Leipzig,22,1997,21.0,1.14,0.81,0.29,0.33,0.52,0.19,0.95,200,0.76,19.8,6.00,304,2.29,7.81,9.67,1.52,0.05,0.00,1.48,0.52,1.67,0.67,0.00,Spiele
340,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,30,1990,7.8,0.77,0.26,0.64,0.13,0.00,0.51,1.03,500,0.51,4.36,2.05,471,2.82,1.41,0.13,1.67,0.38,0.00,1.28,0.64,1.41,6.41,0.13,Spiele
341,Alexander Nübel\Alexander-Nubel,de GER,TW,Bayern Munich,23,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
342,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Hoffenheim,25,1995,11.0,0.91,0.64,0.73,0.18,0.00,0.27,0.91,300,0.64,6.45,2.73,423,2.91,3.18,0.36,1.73,0.36,0.09,1.36,0.82,1.73,4.82,0.09,Spiele
343,Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,31,1989,21.4,1.78,1.07,1.07,0.65,0.05,0.51,1.26,407,0.75,8.93,2.66,298,4.91,3.18,0.84,1.73,0.23,0.00,1.50,1.45,3.22,2.10,0.00,Spiele
344,Masaya Okugawa\Masaya-Okugawa,jp JPN,MFFW,Arminia,24,1996,10.2,1.76,1.08,0.78,0.69,0.29,0.49,1.37,357,0.88,25.1,6.08,242,6.96,12.5,5.69,1.27,0.00,0.00,1.27,0.78,2.55,0.59,0.00,Spiele
345,Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,22,1998,24.4,1.48,0.90,0.29,0.90,0.29,0.16,1.19,138,1.02,18.6,6.56,353,2.83,9.14,6.60,0.86,0.00,0.00,0.86,0.98,2.46,1.07,0.00,Spiele
346,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,28,1992,20.5,1.66,0.98,0.39,0.63,0.63,0.34,0.98,350,0.63,21.0,5.17,247,1.90,10.1,8.98,1.22,0.10,0.00,1.12,0.49,2.15,0.54,0.00,Spiele
347,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,27,1992,26.3,1.60,0.99,0.80,0.68,0.11,0.76,1.41,541,0.65,8.94,3.84,430,3.88,4.22,0.84,1.83,0.91,0.00,0.91,1.33,2.93,5.29,0.11,Spiele
348,Stefan Ortega\Stefan-Ortega,de GER,TW,Arminia,27,1992,34.0,0.03,0.03,0.03,0.00,0.00,0.03,0.15,200,0.12,0.12,0.03,250,0.12,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Spiele
349,Yuya Osako\Yuya-Osako,jp JPN,MFFW,Werder Bremen,30,1990,8.5,1.65,0.94,0.12,0.82,0.71,0.24,0.59,400,0.35,16.7,2.82,169,2.94,8.12,5.65,1.18,0.12,0.00,1.06,0.71,2.35,0.82,0.00,Spiele
350,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,25,1994,19.3,4.04,2.07,2.33,1.45,0.26,1.35,3.01,448,1.66,16.8,5.34,317,7.88,6.48,2.49,3.11,0.36,0.00,2.75,2.12,6.17,3.58,0.05,Spiele
351,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,21,1998,15.1,1.52,0.99,0.93,0.53,0.07,0.66,1.26,526,0.60,8.74,2.78,318,5.36,2.98,0.40,1.72,1.06,0.07,0.66,2.58,4.11,7.88,0.07,Spiele
352,Salih Özcan\Salih-Ozcan,de GER,MFFW,Köln,22,1998,15.2,1.64,1.12,0.66,0.72,0.26,0.86,2.83,302,1.97,17.4,6.05,347,5.79,9.08,2.57,1.12,0.13,0.00,0.99,1.38,3.03,1.78,0.00,Spiele
353,Levin Öztunal?\Levin-Oztunali,de GER,DFFW,Mainz 05,24,1996,8.4,3.33,1.90,1.67,1.19,0.48,1.07,1.90,563,0.83,13.3,3.57,268,6.07,4.52,2.74,2.14,0.12,0.00,2.02,1.79,5.12,2.86,0.00,Spiele
354,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Schalke 04,25,1994,8.3,0.96,0.84,0.60,0.00,0.36,0.36,1.45,250,1.08,15.3,3.61,236,2.89,6.99,5.42,0.60,0.12,0.00,0.48,0.24,1.20,0.72,0.00,Spiele
355,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,21,1998,6.4,4.53,2.66,2.19,2.03,0.31,1.25,3.75,333,2.50,25.5,7.97,313,7.50,15.0,2.97,2.97,0.00,0.00,2.97,2.34,6.88,1.72,0.00,Spiele
356,Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,19,2001,0.0,0,0,0,0,0,0,0,,0,3,2,667,2,1,0,0,0,0,0,0,0,0,0,Spiele
357,Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,22,1998,4.0,3.25,2.00,1.50,1.25,0.50,1.00,2.00,500,1.00,17.8,7.50,423,7.25,6.00,4.50,3.00,0.25,0.00,2.75,1.00,4.25,0.25,0.00,Spiele
358,Paulinho\Paulinho,br BRA,FW,Leverkusen,20,2000,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,21.4,8.57,400,0.00,5.71,15.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
359,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,24,1996,21.6,1.99,1.20,1.06,0.65,0.28,0.60,1.25,481,0.65,11.8,4.49,380,4.21,4.40,3.19,2.64,0.32,0.00,2.31,1.44,3.43,2.18,0.09,Spiele
360,Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,TW,Werder Bremen,28,1992,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.06,0.00,00,0.06,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,Spiele
361,Vasileios Pavlidis\Vasileios-Pavlidis,gr GRE,FW,Schalke 04,17,2002,0.0,0,0,0,0,0,0,0,,0,2,0,00,1,1,0,0,0,0,0,0,0,0,0,Spiele
362,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,23,1996,9.9,2.93,1.62,2.42,0.51,0.00,1.11,2.93,379,1.82,18.4,6.26,341,11.0,5.35,2.02,2.53,0.10,0.10,2.42,1.92,4.85,2.83,0.00,Spiele
363,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,33,1986,18.8,1.44,0.59,1.01,0.32,0.11,1.01,2.07,487,1.06,11.1,3.35,301,5.53,3.94,1.65,1.91,0.43,0.00,1.49,1.06,2.50,2.18,0.05,Spiele
364,Philipp Pentke\Philipp-Pentke,de GER,TW,Hoffenheim,35,1985,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
365,Pavao Pervan\Pavao-Pervan,at AUT,TW,Wolfsburg,32,1987,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,00,0.50,0.50,0.00,00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
366,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,31,1988,14.5,0.97,0.69,0.34,0.34,0.28,0.21,1.59,130,1.38,21.3,4.83,227,2.76,9.03,9.52,1.52,0.07,0.00,1.45,0.21,1.17,2.21,0.07,Spiele
367,Lukas Petkov\Lukas-Petkov,de GER,MF,Augsburg,19,2000,0.0,0,0,0,0,0,0,0,,0,2,0,00,2,0,0,1,0,0,1,0,0,0,0,Spiele
368,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,26,1994,12.3,1.06,0.41,0.41,0.24,0.41,0.24,1.71,143,1.46,23.3,6.99,300,3.17,9.02,11.1,1.14,0.08,0.00,1.06,0.65,1.71,0.24,0.00,Spiele
369,Krzysztof Pi?tek\Krzysztof-Piatek,pl POL,FW,Hertha BSC,25,1995,18.1,0.50,0.28,0.11,0.33,0.06,0.17,1.38,120,1.22,24.9,5.41,218,1.99,11.7,11.2,0.83,0.00,0.00,0.83,0.33,0.83,1.05,0.00,Spiele
370,Amos Pieper\Amos-Pieper,de GER,DF,Arminia,22,1998,29.8,2.21,1.38,1.51,0.67,0.03,0.81,1.51,533,0.70,10.9,4.66,426,6.58,4.03,0.34,2.42,1.38,0.03,1.04,1.17,3.39,7.45,0.13,Spiele
371,?ukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,35,1985,5.1,2.16,1.96,0.78,1.18,0.20,0.59,2.35,250,1.76,15.1,6.47,429,6.67,5.88,2.55,1.18,0.20,0.00,0.98,1.76,3.92,3.14,0.00,Spiele
372,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,28,1992,11.9,1.68,1.09,0.92,0.59,0.17,0.50,0.84,600,0.34,12.4,4.45,361,6.30,4.87,1.18,1.34,0.08,0.00,1.26,0.50,2.18,1.68,0.00,Spiele
373,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'Gladbach,27,1993,20.0,0.85,0.45,0.20,0.50,0.15,0.30,1.25,240,0.95,14.4,3.70,257,1.65,6.40,6.35,0.45,0.05,0.00,0.40,0.35,1.20,0.40,0.00,Spiele
374,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Union Berlin,25,1994,9.5,0.74,0.21,0.11,0.53,0.11,0.21,0.74,286,0.53,12.9,2.84,220,0.74,8.11,4.11,0.21,0.21,0.00,0.00,0.11,0.84,1.05,0.00,Spiele
375,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,25,1994,0.1,10.0,0.00,10.0,0.00,0.00,0.00,0.00,,0.00,20.0,0.00,00,10.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,Spiele
376,Marin Pongra?i?\Marin-Pongracic,hr CRO,DF,Wolfsburg,22,1997,6.4,2.19,1.41,1.72,0.31,0.16,0.63,0.78,800,0.16,10.5,3.91,373,5.31,4.38,0.78,2.50,0.94,0.00,1.56,3.44,5.63,6.09,0.31,Spiele
377,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,23,1997,23.5,2.68,1.36,1.45,0.98,0.26,1.15,2.17,529,1.02,13.6,4.34,320,6.85,5.15,1.57,2.13,0.38,0.00,1.74,1.23,3.91,4.17,0.09,Spiele
378,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,26,1994,15.0,0.47,0.13,0.07,0.20,0.20,0.07,0.93,71,0.87,22.3,6.00,269,1.13,10.3,10.9,1.07,0.00,0.00,1.07,0.47,0.93,0.87,0.00,Spiele
379,Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,28,1991,28.0,2.71,1.71,1.21,1.29,0.21,0.54,2.96,181,2.43,22.0,7.04,320,8.96,11.4,1.68,2.00,0.29,0.00,1.71,1.36,4.07,1.25,0.00,Spiele
380,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,25,1995,20.2,1.98,1.34,0.74,0.99,0.25,0.59,1.53,387,0.94,15.4,5.20,337,3.61,9.60,2.23,1.68,0.15,0.00,1.53,1.53,3.51,1.24,0.00,Spiele
381,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,26,1993,16.4,0.98,0.55,0.24,0.49,0.24,0.18,0.91,200,0.73,19.0,4.82,254,2.80,9.70,6.46,0.85,0.00,0.00,0.85,0.55,1.52,0.37,0.00,Spiele
382,Nemanja Radonji?\Nemanja-Radonjic,rs SRB,FWDF,Hertha BSC,24,1996,6.8,0.88,0.74,0.44,0.29,0.15,0.44,0.88,500,0.44,17.1,3.68,216,4.85,6.62,5.59,0.15,0.00,0.00,0.15,0.59,1.47,0.15,0.00,Spiele
383,Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,25,1994,13.8,1.38,0.87,0.87,0.29,0.22,0.14,1.67,87,1.52,22.0,6.16,280,4.78,8.12,9.13,1.09,0.00,0.00,1.09,0.65,2.03,0.36,0.00,Spiele
384,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,24,1996,16.2,0.99,0.62,0.43,0.43,0.12,0.25,1.54,160,1.30,15.1,3.46,230,3.77,6.30,5.00,0.99,0.00,0.00,0.99,0.56,1.54,0.19,0.00,Spiele
385,Daishawn Redan\Daishawn-Redan,nl NED,FWMF,Hertha BSC,19,2001,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,13.6,4.55,333,2.73,5.45,5.45,0.91,0.00,0.00,0.91,1.82,1.82,0.00,0.00,Spiele
386,Reinier\Reinier,br BRA,MFFW,Dortmund,18,2002,2.9,3.10,2.76,1.03,1.38,0.69,0.00,1.38,00,1.38,23.1,5.52,239,7.93,8.62,6.55,1.72,0.34,0.00,1.38,1.03,4.14,0.00,0.00,Spiele
387,Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,18,2002,0.7,2.86,1.43,1.43,1.43,0.00,2.86,4.29,667,1.43,31.4,8.57,273,17.1,12.9,1.43,4.29,1.43,0.00,2.86,1.43,4.29,1.43,0.00,Spiele
388,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,31,1989,25.3,1.62,1.19,0.51,0.67,0.43,0.32,1.19,267,0.87,18.8,6.32,336,3.68,8.74,6.40,1.26,0.08,0.00,1.19,0.40,2.02,0.59,0.00,Spiele
389,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,22,1997,20.4,2.55,1.47,0.83,1.42,0.29,0.59,2.06,286,1.47,21.1,6.76,321,5.39,10.2,5.44,2.50,0.39,0.00,2.11,1.08,3.63,0.88,0.00,Spiele
390,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,17,2002,22.0,1.36,1.05,0.41,0.59,0.36,0.41,1.41,290,1.00,16.4,5.23,319,3.05,7.77,5.59,1.32,0.05,0.00,1.27,0.68,2.05,0.50,0.00,Spiele
