Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
48,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,31,1989,13.0,70.5,77.1,915,1537.0,380.2,15.8,17.1,923,43.0,45.6,943,11.4,13.8,827,0.00,0.03,-0.03,0.31,3.00,0.23,0.15,3.69,Spiele
49,László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,22,1997,7.3,23.8,36.2,659,407.8,142.6,12.9,15.9,810,7.40,11.6,635,2.74,6.85,400,0.14,0.08,0.05,1.23,1.64,0.68,0.00,2.60,Spiele
50,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,22,1997,1.7,47.1,64.7,727,802.4,227.6,28.2,32.9,857,12.4,14.1,875,5.88,15.3,385,0.59,0.24,0.35,2.35,1.76,0.00,0.00,2.94,Spiele
51,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,50.0,60.2,831,906.9,359.6,21.6,23.9,906,22.8,26.2,871,4.98,8.06,617,0.00,0.02,-0.02,0.40,2.89,0.75,0.25,3.58,Spiele
52,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,37.9,46.1,822,673.4,157.5,16.9,19.7,858,16.1,18.5,867,3.93,6.23,632,0.00,0.02,-0.02,0.16,3.11,0.33,0.00,3.61,Spiele
53,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20,2000,2.1,35.7,42.9,833,717.1,226.7,11.0,12.9,852,18.6,21.0,886,5.71,8.10,706,0.00,0.00,0.00,0.00,0.95,0.00,0.00,2.38,Spiele
54,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,18,2001,3.0,18.7,26.7,700,374.7,109.0,9.00,12.7,711,5.67,7.33,773,3.33,4.33,769,0.00,0.07,-0.07,1.33,2.33,1.33,0.00,3.33,Spiele
55,Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,30,1990,1.4,38.6,44.3,871,793.6,266.4,10.7,12.1,882,22.9,24.3,941,5.00,7.86,636,0.00,0.00,0.00,0.00,2.14,0.00,0.00,2.86,Spiele
56,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,26,1993,16.8,27.7,38.5,719,500.2,114.2,13.3,16.2,820,10.3,13.6,759,3.69,6.79,544,0.06,0.08,-0.02,1.19,1.96,1.07,0.54,2.26,Spiele
57,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,31,1988,26.3,66.8,74.7,894,1645.9,470.0,11.4,12.1,943,37.2,39.2,949,17.9,22.9,781,0.04,0.02,0.02,0.23,7.76,0.61,0.04,5.74,Spiele
58,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,26,1994,22.9,24.5,35.2,695,441.9,138.6,11.2,14.6,766,9.17,12.5,732,3.23,5.59,578,0.17,0.26,-0.09,1.40,2.75,1.00,0.22,3.71,Spiele
59,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18,2002,3.1,46.8,54.2,863,937.4,290.3,21.3,23.5,904,17.4,19.7,885,7.74,9.35,828,0.32,0.06,0.26,1.29,3.55,0.65,0.00,5.16,Spiele
60,Elias Bördner\Elias-Bordner,de GER,TW,Eint Frankfurt,18,2002,1.0,29.0,43.0,674,698.0,482.0,7.00,7.00,1000,16.0,16.0,1000,5.00,19.0,263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
61,Dennis Borkowski\Dennis-Borkowski,de GER,MFFW,RB Leipzig,18,2002,0.1,50.0,70.0,714,1070.0,0.00,10.0,30.0,333,30.0,30.0,1000,10.0,10.0,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
62,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,21,1999,23.1,32.4,38.7,838,818.4,228.2,5.19,6.06,857,17.7,19.6,905,9.13,12.1,754,0.04,0.00,0.04,0.04,1.17,0.09,0.04,1.43,Spiele
63,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21,1999,6.7,19.9,27.5,723,303.4,74.5,9.25,11.9,775,8.06,10.3,783,1.04,1.79,583,0.00,0.03,-0.03,0.60,1.49,0.45,0.00,2.09,Spiele
64,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,53.0,59.6,889,1325.1,268.5,7.27,8.43,862,31.0,32.7,947,14.5,17.6,828,0.00,0.04,-0.04,0.29,1.92,0.12,0.00,1.86,Spiele
65,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,23.3,31.3,747,406.9,86.4,10.6,12.4,854,10.3,12.5,822,2.08,4.58,455,0.28,0.07,0.21,0.69,0.83,0.28,0.28,1.39,Spiele
66,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24,1996,16.6,46.3,54.9,842,801.2,189.5,22.2,25.8,860,16.9,19.5,867,5.60,6.69,838,0.12,0.17,-0.05,1.81,3.61,1.87,0.18,5.24,Spiele
67,Fabian Bredlow\Fabian-Bredlow,de GER,TW,Stuttgart,25,1995,1.0,27.0,36.0,750,595.0,321.0,7.00,7.00,1000,10.0,10.0,1000,8.00,17.0,471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
68,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,31.6,42.0,753,620.9,150.9,12.3,15.3,803,13.4,16.3,821,5.10,7.87,648,0.15,0.17,-0.02,1.83,2.52,1.34,0.35,4.16,Spiele
69,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,2,00,0,0,0,0,,0,1,00,0,1,00,0,0.0,0.0,0,0,0,0,0,Spiele
70,John Brooks\John-Brooks,us USA,DF,Wolfsburg,27,1993,30.8,51.4,60.7,848,1282.1,373.4,8.28,9.58,864,29.0,31.8,911,13.7,18.5,740,0.00,0.02,-0.02,0.16,3.70,0.19,0.00,3.99,Spiele
71,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32,1988,15.9,33.5,52.8,634,664.5,348.7,12.4,15.0,828,15.7,21.8,720,4.97,14.2,351,0.06,0.15,-0.09,1.51,2.77,1.32,0.57,4.47,Spiele
72,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,26,1994,29.5,34.9,48.9,714,705.1,284.6,12.5,14.3,874,16.0,20.2,792,6.00,12.8,469,0.03,0.04,-0.00,0.58,2.68,0.98,0.51,3.15,Spiele
73,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,21,1998,1.0,15.0,19.0,789,203.0,7.00,11.0,13.0,846,3.00,3.00,1000,1.00,2.00,500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
74,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,27,1993,10.9,18.3,29.4,620,329.9,87.5,8.17,11.4,718,7.34,10.6,690,2.20,4.22,522,0.00,0.11,-0.11,1.01,1.10,1.19,0.73,1.38,Spiele
75,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,20,2000,15.3,18.5,26.1,708,304.8,77.9,8.69,11.0,787,7.06,9.54,740,1.90,3.20,592,0.00,0.10,-0.10,0.72,1.44,0.46,0.07,2.16,Spiele
76,Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,20,2000,0.2,20.0,30.0,667,265.0,105.0,5.00,15.0,333,10.0,10.0,1000,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
77,Roman Bürki\Roman-Burki,ch SUI,TW,Dortmund,29,1990,18.5,27.8,34.0,819,757.8,425.6,4.86,4.86,1000,14.2,14.3,996,8.76,14.8,591,0.00,0.00,0.00,0.00,0.16,0.05,0.00,0.05,Spiele
78,Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,26.7,41.5,642,480.3,156.7,11.2,14.8,755,13.3,17.9,746,2.12,6.67,318,0.00,0.00,0.00,0.00,0.61,0.00,0.00,2.42,Spiele
79,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFDF,Augsburg,32,1988,29.6,27.8,40.2,690,538.0,225.5,12.4,14.8,840,9.86,13.4,734,4.63,9.43,491,0.14,0.13,0.01,1.62,2.06,1.11,0.30,3.18,Spiele
80,Emre Can\Emre-Can,de GER,DFMF,Dortmund,26,1994,23.7,66.9,76.6,873,1417.3,409.6,21.1,23.3,902,33.9,36.8,921,11.5,15.5,741,0.17,0.10,0.07,0.72,5.49,0.80,0.08,5.06,Spiele
